namespace,name,item_models,native_tables,native_item_routes,java_hook_classes,workshop_entries,status
advancednetherite,Advanced Netherite,204,0,0,1,0,No chest route found in scanned evidence; code/registry review still required; Java chest-hook evidence
alcocraftplus,AlcoCraft+,17,11,11,2,0,Native chest-table item references found; Java chest-hook evidence
amendments,Amendments,2,0,0,0,0,No chest route found in scanned evidence; code/registry review still required
animal_feeding_trough,Animal Feeding Trough,1,0,0,0,0,No chest route found in scanned evidence; code/registry review still required
bclib,BCLib,2,0,0,0,0,No chest route found in scanned evidence; code/registry review still required
beachparty,[Let's Do] Beachparty,80,8,8,2,6,Native chest-table item references found; Java chest-hook evidence; workshop rewards configured
beautify,Beautify,56,5,5,0,0,Native chest-table item references found
bellsandwhistles,Create: Bells & Whistles,38,0,0,0,0,No chest route found in scanned evidence; code/registry review still required
better_crossbows,Better Crossbows,24,0,0,0,0,No chest route found in scanned evidence; code/registry review still required
betterend,betterend,213,13,13,0,1,Native chest-table item references found; retained global modifier; workshop rewards configured
betterenddelight,BetterEndDelight,53,0,0,0,0,No chest route found in scanned evidence; code/registry review still required; retained global modifier
biomeswevegone,Oh The Biomes We've Gone,890,18,15,1,0,Native chest-table item references found; Java chest-hook evidence
blahaj,Blåhaj,3,0,0,1,0,No chest route found in scanned evidence; code/registry review still required; Java chest-hook evidence
bosses_of_mass_destruction,Bosses of Mass Destruction (Beta),24,3,2,2,0,Native chest-table item references found; Java chest-hook evidence
brewery,[Let's Do] Brewery,71,6,2,2,0,Native chest-table item references found; Java chest-hook evidence
camerapture,Camerapture,4,0,0,0,0,No chest route found in scanned evidence; code/registry review still required
candlelight,[Let's Do] Candlelight,200,0,0,0,0,No chest route found in scanned evidence; code/registry review still required
chipped,Chipped,6987,0,0,0,0,No chest route found in scanned evidence; code/registry review still required
clutter,Clutter,1418,0,0,1,0,No chest route found in scanned evidence; code/registry review still required; Java chest-hook evidence
comforts,Comforts,33,0,0,0,0,No chest route found in scanned evidence; code/registry review still required
constructionwand,Construction Wand (Fabric),10,0,0,0,0,No chest route found in scanned evidence; code/registry review still required
copperagebackport,Copper-Age-Backport,8,0,0,2,0,No chest route found in scanned evidence; code/registry review still required; Java chest-hook evidence
copycats,Create: Copycats+,45,0,0,0,0,No chest route found in scanned evidence; code/registry review still required
cozystudioscore,Cozy Studios Core,21,2,0,2,0,No chest route found in scanned evidence; code/registry review still required; Java chest-hook evidence
craftingpad,Crafting Pad,1,0,0,0,0,No chest route found in scanned evidence; code/registry review still required
cratedelight,Crate Delight,30,0,0,0,0,No chest route found in scanned evidence; code/registry review still required
create,Create,775,0,0,0,19,No chest route found in scanned evidence; code/registry review still required; workshop rewards configured
