create-fabric	Mechanic	Farmer,Cook,Builder,Quartermaster	Power and production	Generate and distribute rotational power; manage speed, direction and stress; use shafts, gears, belts and gearboxes. Build presses, mills, crushing wheels, mixers, fans and mechanical crafters; handle items and fluids; assemble moving contraptions and farms; progress into steam power and trains. The pack also adds its own ore processing and renewable-material recipes.
create-connected-fabric	Mechanic	Builder,Quartermaster	Machine controls	Additional gearboxes, cross connectors, brakes, clutches and kinetic batteries; linked buttons and levers; fan catalysts; inventory bridges, access ports, silos and fluid vessels. Copycat parts also support factory construction. Treat these as refinements to practical machines.
createaddition	Mechanic	Farmer,Cook	Electricity and fuels	Connect rotational power to electricity with alternators and motors; distribute and store energy with connectors and accumulators; roll rods and wires. Installed assets also include seed oil, biofuel-related materials, biomass, a Tesla coil and additional food/decorative components. This is an extension of Create, not evidence of a separate large electrical mod ecosystem.
create-steam-n-rails	Mechanic	Builder,Explorer	Railways	Expand Create rail construction and train customization; build a railway serving farms, workshops and settlements. Use the installed track and train parts for stations, routes and rolling stock rather than requiring every decorative variant.
bellsandwhistles	Mechanic	Builder	Railway fittings	Additional railway and factory decorations and utility fittings; furnish platforms, signals and industrial buildings. A natural extension of a working rail network.
create-enchantment-industry	Mechanic	Witch,Blacksmith	Experience processing	Automate experience handling and enchanting-related production with Create. Connect the workshop to equipment upgrading; use the installed disenchanting and printing/enchanting machinery as a distinct factory branch.
create-dragons-plus	Mechanic	Witch,Builder	Create shared features	A shared library for Dragons Plus addons with player-facing fluid/dye and dragon-breath-related assets, including a fluid hatch. It is not a dragon creature or boss mod. Compatibility dye entries may refer to absent mods; inspect actual recipes before making tasks from them.
create-cobblestone	Mechanic	Builder	Bulk materials	A rotational-power cobblestone generator provides a compact source for stone-processing lines; connect it to storage and downstream material production.
create_oxidized	Mechanic	Builder	Copper processing	Adds Create oxidizing recipes, linking copper ageing to repeatable production of building materials.
create-jetpack	Mechanic	Explorer	Personal flight	Craft and use Create-themed jetpack equipment; treat fuel/air requirements and progression as part of transport engineering, with exact installed recipes deciding its entry point.
create-curios-jetpack	Mechanic	Explorer	Wearable integration	Allows jetpacks and backtanks in an accessory slot. This changes loadout choices but is not a separate machine progression.
create-contraption-terminals	Quartermaster	Mechanic	Mobile storage access	Use Tom's Simple Storage terminals on Create contraptions; connect mobile workshops and transport to storage access.
create-vibrant-vaults	Quartermaster	Mechanic,Builder	Warehouse styling	Additional Create item-vault appearances and variants for identifying and decorating factory storage.
copycats	Builder	Mechanic	Custom shapes	Apply building materials to copycat shapes: slopes, layers, beams, panels, stairs, walls, fences, doors and industrial parts. Build detailed structures and disguise machinery. Pack files also contain Copycats recipe-advancement fixes.
